sid,record_found_yn,enrollment_begin,enrollment_end,college_code_branch,college_name,college_state,yr2_yr4,public_private,enrollment_status,graduated,graduation_date,college_sequence,degree_title,major
7014,"Y",20090822,20091217,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7018,"Y",20080524,20080815,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","H","N",,1,"",""
7018,"Y",20090110,20090505,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","H","N",,1,"",""
7018,"Y",20080830,20081216,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7019,"Y",20100116,20100512,"559548-00","COLLEGE OF ABC","MA","4-year","Private","F","N",,1,"",""
7019,"Y",20090117,20090514,"559548-00","COLLEGE OF ABC","MA","4-year","Private","F","N",,1,"",""
7019,"Y",20080823,20081218,"559548-00","COLLEGE OF ABC","MA","4-year","Private","F","N",,1,"",""
7019,"Y",20090822,20091217,"559548-00","COLLEGE OF ABC","MA","4-year","Private","F","N",,1,"",""
7020,"Y",20090829,20091215,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
7020,"Y",20100109,20100503,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
7026,"Y",20080823,20081218,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
7026,"Y",20100109,20100503,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","H","N",,2,"",""
7026,"Y",20100116,20100512,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","L","N",,1,"",""
7026,"Y",20090117,20090324,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","W","N",,1,"",""
7027,"N",,,"","","","","","","N",,,"",""
7028,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7028,"Y",20090606,20090730,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","L","N",,1,"",""
7028,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7028,"Y",20080823,20081218,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7028,"Y",20090117,20090514,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7029,"N",,,"","","","","","","N",,,"",""
7033,"Y",20100116,20100512,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
7033,"Y",20090822,20091217,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
7039,"N",,,"","","","","","","N",,,"",""
7046,"Y",20090110,20090222,"19757-00","COMMUNITY COLLEGE 500","FL","2-year","Public","W","N",,1,"",""
7046,"Y",20080830,20081216,"19757-00","COMMUNITY COLLEGE 500","FL","2-year","Public","F","N",,1,"",""
7047,"Y",20090829,20091215,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","H","N",,1,"",""
7047,"Y",20100109,20100503,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
7047,"Y",20080830,20081216,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
7047,"Y",20090110,20090505,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","L","N",,1,"",""
7048,"Y",20090829,20091215,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","H","N",,1,"",""
7055,"Y",20100116,20100512,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
7055,"Y",20090822,20091217,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
7057,"Y",20100117,20100511,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7057,"Y",20090822,20091216,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7073,"Y",20080823,20081218,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7073,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7073,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7073,"Y",20090117,20090514,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7079,"Y",20090822,20091217,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7079,"Y",20100116,20100512,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7079,"Y",20090829,20091118,"134140-00","COMMUNITY COLLEGE 3","CA","2-year","Public","W","N",,2,"",""
7079,"Y",20100109,20100503,"134140-00","COMMUNITY COLLEGE 3","CA","2-year","Public","L","N",,2,"",""
7082,"Y",20080819,20081217,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7082,"Y",20090818,20091216,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7082,"Y",20090111,20090519,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7082,"Y",20100110,20100511,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7086,"N",,,"","","","","","","N",,,"",""
7087,"Y",20100109,20100503,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
7087,"Y",,,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","","Y",20091215,1,"",""
7087,"Y",,,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","","Y",20091215,1,"CERTIFICATE","AUTOMOTIVE SERV FUNDAMENTALS"
7087,"Y",20090829,20091215,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
7095,"Y",20090110,20090505,"5166-00","COMMUNITY COLLEGE 2","CA","2-year","Public","H","N",,1,"",""
7095,"Y",20080830,20081216,"5166-00","COMMUNITY COLLEGE 2","CA","2-year","Public","F","N",,1,"",""
7105,"Y",20090829,20091215,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
7105,"Y",20100109,20100503,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
7114,"Y",20100116,20100512,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
7114,"Y",20090822,20091217,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
7115,"Y",20090829,20091215,"768494-00","ABC COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7115,"Y",20100109,20100503,"768494-00","ABC COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7116,"Y",20080823,20081218,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7116,"Y",20090523,20090814,"164039-00","B COMMUNITY COLLEGE","NY","2-year","Public","H","N",,2,"",""
7116,"Y",20090117,20090514,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7116,"Y",20100116,20100512,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7116,"Y",20090822,20091217,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7119,"N",,,"","","","","","","N",,,"",""
7136,"N",,,"","","","","","","N",,,"",""
7145,"Y",20100109,20100503,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
7145,"Y",20090829,20091215,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
7150,"Y",20090110,20090505,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
7150,"Y",20090829,20091215,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
7150,"Y",20100109,20100503,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
7150,"Y",20080830,20081216,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
7150,"Y",20090523,20090814,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","L","N",,1,"",""
7151,"Y",20090829,20091215,"519091-00","STU COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7151,"Y",20090523,20090814,"519091-00","STU COMMUNITY COLLEGE","MA","2-year","Public","L","N",,1,"",""
7151,"Y",20080830,20081216,"519091-00","STU COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7151,"Y",20100109,20100503,"519091-00","STU COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7151,"Y",20090110,20090505,"519091-00","STU COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7152,"N",,,"","","","","","","N",,,"",""
7162,"Y",20090829,20091215,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","H","N",,1,"",""
7162,"Y",20100109,20100503,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
7166,"N",,,"","","","","","","N",,,"",""
7171,"Y",20090516,20090624,"164039-00","B COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
7171,"Y",,,"164039-00","B COMMUNITY COLLEGE","NY","2-year","Public","","Y",20090624,1,"",""
7172,"N",,,"","","","","","","N",,,"",""
7174,"Y",20100109,20100503,"362660-00","COMMUNITY COLLEGE 1","CA","2-year","Public","F","N",,1,"",""
7174,"Y",20090829,20091215,"362660-00","COMMUNITY COLLEGE 1","CA","2-year","Public","F","N",,1,"",""
7177,"Y",20100321,20100418,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7177,"Y",20100215,20100314,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7180,"Y",20100116,20100512,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7180,"Y",20080823,20081218,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7180,"Y",20090606,20090730,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","H","N",,1,"",""
7180,"Y",20090117,20090514,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7180,"Y",20090822,20091217,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7181,"Y",20090829,20091215,"644448-00","A COMMUNITY COLLEGE","NY","2-year","Public","H","N",,1,"",""
7182,"Y",20100116,20100512,"943508-00","PUBLIC UNIVERSITY 2","CA","4-year","Public","F","N",,1,"",""
7182,"Y",20090117,20090514,"943508-00","PUBLIC UNIVERSITY 2","CA","4-year","Public","F","N",,1,"",""
7182,"Y",20090606,20090730,"943508-00","PUBLIC UNIVERSITY 2","CA","4-year","Public","H","N",,1,"",""
7182,"Y",20080823,20081218,"943508-00","PUBLIC UNIVERSITY 2","CA","4-year","Public","F","N",,1,"",""
7182,"Y",20090822,20091217,"943508-00","PUBLIC UNIVERSITY 2","CA","4-year","Public","F","N",,1,"",""
7190,"Y",20090822,20091217,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7190,"Y",20090117,20090514,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7190,"Y",20080823,20081218,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7190,"Y",20100116,20100512,"966588-00","UNIVERSITY A","MA","4-year","Private","H","N",,1,"",""
7192,"Y",20090822,20091217,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7192,"Y",20100116,20100512,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7197,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","L","N",,1,"",""
7197,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7198,"Y",20100116,20100512,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7198,"Y",20090822,20091217,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7204,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7209,"Y",20090822,20091217,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
7209,"Y",20100109,20100503,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","H","N",,2,"",""
7220,"Y",20100116,20100512,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
7220,"Y",20090822,20091217,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
7230,"Y",20100109,20100503,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","L","N",,1,"",""
7230,"Y",20090829,20091215,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","L","N",,1,"",""
7240,"Y",20100119,20100511,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
7240,"Y",20090113,20090506,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
7240,"Y",20080819,20081210,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
7240,"Y",20090818,20091209,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
7243,"Y",20100109,20100503,"108962-00","GHI COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7243,"Y",20080830,20081216,"108962-00","GHI COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7243,"Y",20090110,20090505,"108962-00","GHI COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7243,"Y",20090829,20091215,"108962-00","GHI COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7247,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7247,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7252,"Y",20090822,20091217,"643322-00","STATE UNIVERSITY - EAST CAMPUS","TX","4-year","Public","F","N",,1,"",""
7252,"Y",20080823,20081218,"643322-00","STATE UNIVERSITY - EAST CAMPUS","TX","4-year","Public","F","N",,1,"",""
7252,"Y",20100116,20100512,"643322-00","STATE UNIVERSITY - EAST CAMPUS","TX","4-year","Public","F","N",,1,"",""
7252,"Y",20090117,20090514,"643322-00","STATE UNIVERSITY - EAST CAMPUS","TX","4-year","Public","F","N",,1,"",""
7254,"Y",20080823,20081218,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
7254,"Y",20090822,20091217,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
7254,"Y",20100116,20100512,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
7254,"Y",20090117,20090514,"492808-00","COLLEGE OF XYZ","FL","4-year","Private","F","N",,1,"",""
7255,"N",,,"","","","","","","N",,,"",""
7264,"N",,,"","","","","","","N",,,"",""
7265,"Y",20100104,20100407,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
7265,"Y",20090912,20091217,"676344-00","STATE UNIVERSITY - NORTH CAMPUS","TX","4-year","Public","F","N",,1,"",""
7266,"Y",20100116,20100512,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
7266,"Y",20080823,20081218,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
7266,"Y",20090523,20090814,"108962-00","GHI COMMUNITY COLLEGE","MA","2-year","Public","L","N",,2,"",""
7266,"Y",20090822,20091217,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
7266,"Y",20090117,20090514,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
7270,"N",,,"","","","","","","N",,,"",""
7273,"Y",20100116,20100512,"416739-00","UNIVERSITY OF B","TX","4-year","Private","F","N",,1,"",""
7273,"Y",20090822,20091217,"416739-00","UNIVERSITY OF B","TX","4-year","Private","F","N",,1,"",""
7276,"Y",20090523,20090814,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","H","N",,1,"",""
7276,"Y",20080830,20081216,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","H","N",,1,"",""
7276,"Y",20090110,20090505,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","L","N",,1,"",""
7278,"Y",20090829,20091215,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
7278,"Y",20100109,20100503,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","F","N",,1,"",""
7279,"Y",20090110,20090505,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7279,"Y",20090829,20091215,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7279,"Y",20080830,20081216,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7279,"Y",20100109,20100503,"204168-00","MNO COMMUNITY COLLEGE","MA","2-year","Public","F","N",,1,"",""
7280,"Y",20100109,20100503,"24548-00","COMMUNITY COLLEGE 100","FL","2-year","Public","H","N",,1,"",""
7280,"Y",20090829,20091215,"24548-00","COMMUNITY COLLEGE 100","FL","2-year","Public","H","N",,1,"",""
7285,"Y",20100116,20100512,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7285,"Y",20080823,20081218,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7285,"Y",20090822,20091217,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7285,"Y",20090117,20090514,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7286,"N",,,"","","","","","","N",,,"",""
7289,"Y",20100116,20100512,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7289,"Y",20090822,20091217,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7291,"Y",20100109,20100503,"24548-00","COMMUNITY COLLEGE 100","FL","2-year","Public","F","N",,1,"",""
7291,"Y",20090829,20091215,"24548-00","COMMUNITY COLLEGE 100","FL","2-year","Public","F","N",,1,"",""
7295,"Y",20090822,20091217,"667230-00","UVW COMMUNITY COLLEGE","IL","2-year","Public","H","N",,1,"",""
7295,"Y",20100109,20100503,"108962-00","GHI COMMUNITY COLLEGE","MA","2-year","Public","L","N",,2,"",""
7299,"N",,,"","","","","","","N",,,"",""
7301,"Y",20090829,20091215,"768494-00","ABC COMMUNITY COLLEGE","MA","2-year","Public","H","N",,1,"",""
7306,"Y",20090523,20090814,"5166-00","COMMUNITY COLLEGE 2","CA","2-year","Public","H","N",,1,"",""
7306,"Y",20080830,20081216,"5166-00","COMMUNITY COLLEGE 2","CA","2-year","Public","H","N",,1,"",""
7306,"Y",20100109,20100302,"5166-00","COMMUNITY COLLEGE 2","CA","2-year","Public","W","N",,1,"",""
7306,"Y",20090110,20090505,"5166-00","COMMUNITY COLLEGE 2","CA","2-year","Public","H","N",,1,"",""
7306,"Y",20090829,20091215,"5166-00","COMMUNITY COLLEGE 2","CA","2-year","Public","L","N",,1,"",""
7308,"N",,,"","","","","","","N",,,"",""
7312,"Y",20100119,20100511,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,2,"",""
7312,"Y",20090523,20090614,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","W","N",,1,"",""
7312,"Y",20080830,20081216,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
7312,"Y",20090110,20090505,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
7312,"Y",20090818,20091209,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,2,"",""
7313,"Y",20090523,20090814,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","H","N",,2,"",""
7313,"Y",20080830,20081217,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7313,"Y",20090829,20091216,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7313,"Y",20100109,20100427,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7313,"Y",20090110,20090429,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7318,"Y",20090822,20091217,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
7318,"Y",20100116,20100512,"244740-00","UNIVERSITY - MAIN CAMPUS","IL","4-year","Public","F","N",,1,"",""
7320,"N",,,"","","","","","","N",,,"",""
7323,"Y",20100109,20100503,"644448-00","A COMMUNITY COLLEGE","NY","2-year","Public","H","N",,1,"",""
7327,"N",,,"","","","","","","N",,,"",""
7344,"Y",20090822,20091217,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7344,"Y",20080823,20081218,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7344,"Y",20100116,20100512,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7344,"Y",20090523,20090814,"644448-00","A COMMUNITY COLLEGE","NY","2-year","Public","H","N",,2,"",""
7344,"Y",20090117,20090514,"88727-00","UNIVERSITY - CAMPUS 2","IL","4-year","Public","F","N",,1,"",""
7349,"Y",20090110,20090505,"5166-00","COMMUNITY COLLEGE 2","CA","2-year","Public","L","N",,1,"",""
7349,"Y",20100109,20100117,"5166-00","COMMUNITY COLLEGE 2","CA","2-year","Public","W","N",,1,"",""
7351,"Y",20100116,20100512,"416739-00","UNIVERSITY OF B","TX","4-year","Private","F","N",,1,"",""
7351,"Y",20090822,20091217,"416739-00","UNIVERSITY OF B","TX","4-year","Private","F","N",,1,"",""
7360,"Y",20090822,20091217,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7375,"Y",20090829,20091215,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","L","N",,1,"",""
7375,"Y",20100109,20100125,"144614-00","XYZ COMMUNITY COLLEGE","IL","2-year","Public","W","N",,1,"",""
7391,"Y",20100116,20100512,"545243-00","UNIVERSITY OF C","TX","4-year","Private","F","N",,1,"",""
7391,"Y",20090822,20091217,"545243-00","UNIVERSITY OF C","TX","4-year","Private","F","N",,1,"",""
7397,"Y",20080823,20081217,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7397,"Y",20090118,20090513,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7397,"Y",20100117,20100511,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7397,"Y",20090822,20091216,"631806-00","UNIVERSITY XYZ","MA","4-year","Public","F","N",,1,"",""
7398,"N",,,"","","","","","","N",,,"",""
7401,"Y",20100116,20100512,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7401,"Y",20080823,20081218,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7401,"Y",20090822,20091217,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7401,"Y",20090117,20090514,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7403,"N",,,"","","","","","","N",,,"",""
7409,"Y",20090829,20091215,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
7409,"Y",20100109,20100503,"822323-00","D COMMUNITY COLLEGE","NY","2-year","Public","F","N",,1,"",""
7410,"N",,,"","","","","","","N",,,"",""
7413,"Y",20100116,20100512,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7413,"Y",20090117,20090514,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7413,"Y",20080823,20081218,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7413,"Y",20090822,20091217,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7417,"N",,,"","","","","","","N",,,"",""
7418,"N",,,"","","","","","","N",,,"",""
7420,"Y",20080819,20081210,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7420,"Y",20090113,20090506,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7420,"Y",20100119,20100511,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7420,"Y",20090818,20091209,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7422,"N",,,"","","","","","","N",,,"",""
7425,"Y",20090606,20090730,"372511-00","AB COLLEGE","NY","4-year","Private","H","N",,1,"",""
7425,"Y",20080823,20081218,"372511-00","AB COLLEGE","NY","4-year","Private","F","N",,1,"",""
7425,"Y",20090117,20090514,"372511-00","AB COLLEGE","NY","4-year","Private","F","N",,1,"",""
7425,"Y",20100116,20100512,"372511-00","AB COLLEGE","NY","4-year","Private","F","N",,1,"",""
7425,"Y",20090822,20091217,"372511-00","AB COLLEGE","NY","4-year","Private","F","N",,1,"",""
7426,"N",,,"","","","","","","N",,,"",""
7427,"Y",20100116,20100512,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
7427,"Y",20090822,20091217,"220386-00","PUBLIC UNIVERSITY 1","CA","4-year","Public","F","N",,1,"",""
7428,"Y",20100116,20100512,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7428,"Y",20090822,20091217,"966588-00","UNIVERSITY A","MA","4-year","Private","F","N",,1,"",""
7442,"Y",20100116,20100512,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7442,"Y",20090822,20091217,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7445,"N",,,"","","","","","","N",,,"",""
7448,"Y",20080823,20081218,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7448,"Y",20090117,20090514,"760941-00","ABC STATE UNIVERSITY","FL","4-year","Public","F","N",,1,"",""
7457,"Y",20090822,20091217,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7457,"Y",20090117,20090514,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7457,"Y",20090606,20090730,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","H","N",,1,"",""
7457,"Y",20080823,20081218,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","F","N",,1,"",""
7457,"Y",20100116,20100126,"653697-00","UNIVERSITY OF GH","NY","4-year","Public","W","N",,1,"",""
7459,"Y",20090110,20090505,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
7459,"Y",20080830,20081216,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
7459,"Y",20090829,20091101,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","W","N",,1,"",""
7459,"Y",20090523,20090814,"154436-00","COMMUNITY COLLEGE B","TX","2-year","Public","F","N",,1,"",""
7465,"Y",20100116,20100512,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
7465,"Y",20090822,20091217,"207361-00","PRIVATE COLLEGE A","CA","4-year","Private","F","N",,1,"",""
